hhld_num,dwell_type,income,n_person,n_vehicle,n_licence,n_emp_ft,n_emp_pt,n_emp_home,n_student,n_hhld_trip,region_hhld,pd_hhld,waterzn_hhld,expf,Pop
100270,1,1,2,1,2,0,0,0,0,0,12,64,120032,4.27,8.54
100295,1,3,5,4,4,1,2,0,2,10,12,64,121187,39.81,199.05
100455,3,3,2,1,2,0,0,0,0,4,12,64,120372,5.88,11.76
100544,1,7,2,2,2,1,1,0,0,10,12,64,121611,17.26,34.52
101008,3,5,1,1,1,0,0,0,0,0,12,65,121505,7.73,7.73
101195,1,6,3,2,2,2,0,0,1,26,12,64,121443,18.69,56.07
101354,1,5,2,1,2,1,0,0,0,2,12,64,121611,8.48,16.96
101693,1,3,2,1,99,2,0,0,0,0,12,64,122089,14.6,29.2
102248,1,6,3,3,3,2,0,0,1,8,12,64,121466,15.35,46.05
102415,2,3,2,2,1,2,0,0,0,4,12,64,122060,25.68,51.36
102463,1,6,3,3,3,2,1,0,1,4,12,64,122089,25.89,77.67
102583,1,4,3,2,3,1,0,0,0,14,12,64,121611,3.13,9.39
103076,2,3,2,2,2,1,1,0,0,3,12,64,121973,16.05,32.1
103286,1,2,2,1,2,0,0,0,0,2,12,64,120032,3.88,7.76
103309,2,3,1,1,1,0,0,0,0,2,12,64,121943,13.2,13.2
103328,2,2,1,1,1,0,0,0,0,0,12,64,120054,11.89,11.89
103804,1,2,2,1,1,0,0,0,0,0,12,64,122089,14.72,29.44
104091,1,6,2,2,2,0,0,0,0,9,12,64,121466,11.14,22.28
104139,2,1,1,0,0,0,0,0,0,0,12,64,121436,14.43,14.43
105861,1,4,2,2,2,1,0,0,0,2,12,64,121422,18.78,37.56
106067,2,1,2,1,1,0,0,0,0,2,12,64,122065,11.68,23.36
106440,1,5,3,2,3,1,1,1,1,7,12,64,122088,12.53,37.59
106746,1,6,4,2,2,2,0,0,2,9,12,64,121426,30.89,123.56
106947,3,1,1,0,0,0,0,0,0,2,12,65,122024,36.37,36.37
107670,2,5,3,2,3,3,0,0,0,33,12,64,121973,43.27,129.81
108010,1,6,2,3,2,2,0,0,0,4,12,64,121424,17.42,34.84
108041,1,3,2,1,2,1,0,0,0,6,12,64,121443,10.34,20.68
108331,1,3,2,2,2,1,0,0,0,4,12,64,120032,17.26,34.52
108722,1,3,1,1,1,1,0,0,0,2,12,64,120032,3.13,3.13
108770,2,7,2,1,2,0,0,0,0,0,12,64,120075,32.94,65.88
109107,2,2,1,1,1,0,1,0,0,3,12,65,120133,13.33,13.33
109158,2,1,1,0,1,0,1,0,0,3,12,64,122074,61.91,61.91
109229,1,2,2,2,2,0,0,0,0,5,12,64,122077,14.29,28.58
109308,1,5,4,4,4,4,0,0,0,6,12,64,122077,26.34,105.36
110532,2,2,1,1,1,0,0,0,0,2,12,64,120054,12.02,12.02
111415,1,5,3,3,3,0,0,0,0,8,12,64,120372,6.64,19.92
112146,2,2,3,1,1,0,1,1,2,14,12,64,120904,56.33,168.99
113480,2,2,2,0,0,0,0,0,0,2,12,64,121579,12.97,25.94
113727,1,6,4,2,2,2,0,0,2,29,12,64,121797,40,160
114108,2,3,1,1,1,1,0,0,0,6,12,64,121032,25.91,25.91
116166,1,7,2,2,2,0,0,0,0,0,12,65,121792,13.54,27.08
116181,2,3,1,1,1,1,0,0,0,0,12,65,121192,13.19,13.19
116233,1,4,2,1,2,2,0,0,0,10,12,64,122079,28.92,57.84
118883,1,6,4,1,2,2,0,1,2,2,12,64,121426,31.94,127.76
120535,3,5,4,2,2,2,0,0,1,7,12,65,121792,13.92,55.68
121049,1,5,2,1,2,1,0,0,0,4,12,64,121582,15.77,31.54
121765,1,6,3,2,2,2,0,0,1,4,12,64,121466,18.59,55.77
122126,2,2,3,2,2,1,0,1,0,4,12,64,120058,64.24,192.72
122183,2,2,1,1,1,0,1,0,0,4,12,64,122072,28.08,28.08
122344,1,3,1,1,1,0,0,0,0,4,12,64,122097,7.32,7.32
122402,1,5,2,2,2,0,0,0,0,3,12,64,121424,13.26,26.52
122684,2,2,2,2,2,0,0,0,0,9,12,63,121044,12.81,25.62
122883,2,4,1,1,1,0,0,0,0,0,12,65,121531,33.43,33.43
123026,2,7,2,1,2,0,0,0,0,2,12,64,120075,12.17,24.34
123074,2,4,1,1,1,1,0,0,0,2,12,63,121044,15.3,15.3
123551,1,7,1,1,1,0,0,0,0,2,12,64,121694,7.32,7.32
123560,3,3,3,0,0,0,2,1,1,2,12,64,121436,43.58,130.74
123712,1,2,1,0,0,0,0,0,0,2,12,63,120022,16.41,16.41
123855,1,3,4,3,3,1,1,0,1,4,12,66,120435,11.24,44.96
123913,1,4,2,3,2,2,0,0,0,4,12,64,122078,21.58,43.16
123990,1,2,2,1,2,1,0,0,0,2,12,65,122127,12.05,24.1
124166,1,4,4,3,2,1,0,0,1,5,12,65,120394,17.12,68.48
124236,1,4,2,2,2,1,0,1,0,6,12,63,120903,14.75,29.5
124352,1,7,5,5,5,4,1,0,0,16,12,64,122076,47.58,237.9
124472,1,6,2,1,2,1,0,0,0,6,12,63,121295,12.22,24.44
124478,1,5,3,3,3,1,1,0,0,29,12,63,120349,15.08,45.24
124488,1,6,3,3,2,2,0,0,1,6,12,63,120023,22.86,68.58
124533,2,2,2,1,2,1,1,0,1,10,12,63,120955,19.28,38.56
124628,2,3,1,1,1,1,0,0,0,2,12,63,120991,27.07,27.07
125080,1,3,2,2,2,0,0,0,0,4,12,63,122036,12.29,24.58
125104,1,4,2,1,2,0,0,0,0,2,12,64,121454,8.95,17.9
