hhld_num,pers_num,age,sex,driver_lic,tran_pass,emp_stat,occupation,free_park,stu_stat,no_work,n_pers_trip,n_tran_trip,waterzn_emp,waterzn_sch,expf,waterzn_emp
737714,3,0,M,N,N,O,O,O,O,O,0,0,0,0,32.7,0
214932,1,63,F,Y,N,F,G,N,O,O,6,0,120040,0,20.78,20.78
214967,3,24,M,Y,N,F,S,Y,O,O,2,0,121149,0,26.38,26.38
215038,2,43,F,Y,N,P,P,Y,O,O,2,0,120036,0,41.42,41.42
984362,2,49,F,Y,N,F,G,N,O,O,6,0,120017,0,7.72,7.72
750965,3,18,M,Y,N,P,S,Y,O,O,0,0,121972,0,17.78,17.78
764794,2,29,F,Y,N,P,G,Y,O,O,0,0,121370,0,53.64,53.64
348514,2,57,F,Y,N,P,P,N,O,O,2,0,120025,0,8.74,8.74
350169,2,47,M,Y,N,F,S,Y,O,O,2,0,121029,0,4.81,4.81
165347,2,64,F,Y,N,J,S,9,O,O,0,0,120011,0,28.41,28.41
312244,1,56,F,9,N,O,O,O,O,O,0,0,0,0,23.62,0
324843,2,58,M,Y,N,F,P,Y,O,O,4,0,121854,0,17.57,17.57
331969,2,59,M,Y,N,H,P,Y,O,O,2,0,120797,0,15.11,15.11
4420433,4,25,M,Y,N,F,M,Y,O,O,2,0,120401,0,14.3,14.3
201725,4,20,F,Y,O,P,S,Y,S,O,0,0,120748,0,34.07,34.07
780409,3,25,F,Y,N,F,P,9,S,O,3,0,122041,0,31.99,31.99
283941,3,22,F,Y,N,P,S,Y,S,O,4,0,121613,0,17.72,17.72
360900,2,31,F,Y,N,P,P,Y,S,O,3,0,122034,0,15.15,15.15
476904,3,17,M,Y,N,P,G,Y,S,O,0,0,120483,0,46.84,46.84
360855,2,57,F,Y,N,F,P,Y,O,O,2,0,120107,0,11.22,11.22
576493,1,43,M,Y,N,F,P,Y,P,O,6,0,120030,0,10.32,10.32
214816,3,20,F,Y,N,P,S,Y,S,O,2,0,120979,0,43.29,43.29
261234,4,19,F,Y,O,P,S,Y,S,O,3,0,122065,0,66.76,66.76
298132,3,22,F,Y,N,P,S,Y,S,O,4,0,120938,0,26.9,26.9
644419,2,21,F,Y,N,P,S,Y,S,O,2,0,120958,0,22.71,22.71
2104055,2,21,M,Y,N,P,S,Y,S,O,4,0,120344,0,35.84,35.84
331899,3,20,F,Y,N,P,S,Y,S,O,2,0,120669,0,40.83,40.83
219375,4,20,F,Y,N,P,S,Y,S,O,0,0,120632,0,43.79,43.79
219925,1,60,M,Y,N,F,P,Y,P,O,6,0,121874,0,25.74,25.74
415320,2,40,M,Y,N,F,P,Y,P,O,6,0,120983,0,10.55,10.55
295521,3,22,M,Y,N,P,S,Y,S,O,5,0,121261,0,15.35,15.35
591527,3,21,M,Y,N,P,S,Y,S,O,2,0,121653,0,50.93,50.93
809215,1,29,M,Y,N,F,P,Y,P,O,2,0,120107,0,82.09,82.09
219489,4,18,F,Y,N,P,S,Y,S,O,2,0,121169,0,26.74,26.74
223466,3,19,M,Y,N,P,G,Y,S,O,2,0,120414,0,32.93,32.93
416750,2,32,M,Y,N,F,M,Y,P,O,6,0,120084,0,20.23,20.23
424521,1,21,M,Y,C,P,G,Y,S,O,2,2,121127,0,25.51,25.51
720611,1,37,F,Y,N,F,P,N,P,O,4,0,120040,0,45.08,45.08
251776,2,43,F,Y,N,P,P,N,P,O,2,0,121583,0,44.18,44.18
388485,4,20,F,Y,O,P,S,Y,S,O,5,1,121499,0,36.99,36.99
327836,2,39,M,Y,N,F,S,Y,P,O,5,0,121026,0,24.93,24.93
233081,3,24,F,Y,O,P,S,Y,S,O,2,0,120068,0,21.98,21.98
4409168,2,20,F,Y,N,P,S,Y,S,O,6,0,122082,0,32.68,32.68
683100,1,26,F,Y,N,F,G,Y,S,O,2,0,120747,0,29.93,29.93
147549,3,22,F,Y,N,P,S,Y,S,O,3,0,121653,0,43.23,43.23
960554,2,35,F,Y,N,F,S,Y,P,O,5,0,121482,0,20.23,20.23
705601,1,20,F,Y,N,F,G,N,S,O,2,0,121692,0,27.78,27.78
213207,4,19,F,Y,O,P,S,Y,S,O,2,0,120934,0,21.67,21.67
477905,3,19,M,Y,N,P,S,Y,S,O,3,0,120334,0,15.89,15.89
544915,3,24,F,Y,N,F,S,Y,P,O,2,0,121653,0,25.69,25.69
529339,2,20,F,Y,N,P,S,Y,S,O,2,0,122080,0,27.92,27.92
683617,4,22,M,Y,N,P,S,Y,S,O,4,0,121653,0,37.64,37.64
369963,3,21,F,Y,N,P,S,Y,S,O,1,0,121655,0,24.68,24.68
293913,1,60,F,Y,N,F,G,N,P,O,6,0,121277,0,8.53,8.53
363078,1,41,F,Y,N,F,P,Y,O,O,3,0,120140,0,21.89,21.89
474369,3,25,M,Y,O,O,O,O,S,O,0,0,0,121090,89.82,0
701739,1,23,M,Y,O,O,O,O,S,O,2,2,0,121090,40.59,0
288574,2,30,F,N,O,O,O,O,S,O,2,2,0,120082,31.87,0
289078,3,15,F,N,N,O,O,O,S,O,4,0,0,121675,42.15,0
667293,3,14,M,N,N,O,O,O,S,O,2,0,0,121179,16.89,0
786866,2,24,M,Y,P,O,O,O,P,O,2,0,0,121090,38.82,0
307506,3,14,F,N,M,O,O,O,S,O,2,0,0,121882,26.75,0
654082,1,42,M,Y,O,O,O,O,S,O,4,0,0,121090,58.7,0
654082,2,46,F,N,O,O,O,O,S,O,2,2,0,121090,58.7,0
400156,1,28,F,Y,O,O,O,O,S,O,3,0,0,121079,52.95,0
161994,3,18,M,Y,N,O,O,O,S,O,4,0,0,121882,9.59,0
875834,3,13,M,N,N,O,O,O,S,O,2,1,0,121417,31.34,0
279978,6,11,M,N,N,O,O,O,S,O,2,0,0,121863,52.54,0
202175,5,11,M,N,N,O,O,O,S,O,3,0,0,122136,35.97,0
422642,2,27,F,Y,N,O,O,O,P,O,5,0,0,121213,20.25,0
392054,5,22,M,Y,N,O,O,O,P,O,6,0,0,120860,31.81,0
512333,3,26,M,N,N,O,O,O,S,O,2,0,0,121007,49.13,0
539477,3,15,M,N,N,O,O,O,S,O,2,0,0,121179,19.47,0
539477,4,12,M,N,N,O,O,O,S,O,2,0,0,121596,19.47,0
735384,1,21,F,Y,P,O,O,O,S,O,8,0,0,120025,23.49,0
897928,3,20,F,Y,O,O,O,O,S,O,2,0,0,120025,42.45,0
960769,4,17,F,Y,N,O,O,O,S,O,5,0,0,121635,16.7,0
4437508,1,17,M,Y,O,O,O,O,S,O,4,1,0,121882,45.96,0
330286,4,11,M,N,N,O,O,O,S,O,4,0,0,120783,3.71,0
348724,1,59,M,Y,N,O,O,O,P,O,4,0,0,120011,14.18,0
348909,3,17,F,N,N,O,O,O,S,O,2,0,0,122123,62.08,0
238198,4,15,M,N,N,O,O,O,S,O,2,0,0,120403,14.59,0
222060,4,14,M,N,N,O,O,O,S,O,2,0,0,121675,20.9,0
222139,3,19,F,N,N,O,O,O,P,O,0,0,0,120346,19.73,0
203233,3,12,F,N,N,O,O,O,S,O,2,0,0,120039,20.03,0
177462,3,18,F,N,M,O,O,O,S,O,2,2,0,121882,17.57,0
292192,3,18,M,Y,N,O,O,O,S,O,0,0,0,120346,38.71,0
617653,2,18,M,N,N,O,O,O,S,O,0,0,0,121882,22.48,0
616470,3,15,F,N,N,O,O,O,S,O,2,0,0,121166,23.07,0
633393,5,12,F,N,N,O,O,O,S,O,2,0,0,121430,39.31,0
282180,3,14,M,N,N,O,O,O,S,O,2,0,0,120115,40.4,0
332489,4,11,F,N,N,O,O,O,S,O,2,0,0,121611,3.13,0
201342,3,14,F,N,N,O,O,O,S,O,2,0,0,122085,32.15,0
201848,3,11,F,N,N,O,O,O,S,O,5,0,0,120007,32.01,0
225193,3,26,M,Y,P,O,O,O,S,O,2,0,0,120025,22.91,0
290750,3,18,F,Y,N,O,O,O,S,O,2,0,0,121090,7.93,0
131224,4,22,F,N,O,O,O,O,S,O,2,2,0,120082,34.51,0
963742,3,13,M,N,N,O,O,O,S,O,4,0,0,122110,22.52,0
336442,3,11,F,N,N,O,O,O,S,O,2,0,0,122059,12.91,0
313957,2,31,M,Y,N,O,O,O,S,O,4,0,0,120137,39.76,0
181955,5,11,M,N,N,O,O,O,S,O,2,0,0,122088,23.68,0
4425757,2,12,M,N,N,O,O,O,S,O,2,0,0,120063,21.9,0
4431062,3,16,F,Y,N,O,O,O,S,O,2,0,0,121179,14.83,0
458916,2,30,M,Y,C,O,O,O,S,O,2,2,0,121090,22.69,0
549475,6,21,M,Y,N,O,O,O,S,O,2,0,0,120082,67.47,0
455409,3,21,M,9,O,O,O,O,S,O,2,2,0,121090,4.7,0
972100,3,16,M,Y,N,O,O,O,S,O,2,0,0,121043,25.23,0
374790,3,15,M,N,N,O,O,O,S,O,2,0,0,121675,14.28,0
218724,1,14,F,N,N,O,O,O,S,O,2,0,0,121390,27.14,0
479848,4,12,M,N,N,O,O,O,S,O,3,0,0,120063,9.08,0
200874,4,13,M,N,N,O,O,O,S,O,2,0,0,121522,27.02,0
200874,5,11,M,N,N,O,O,O,S,O,4,0,0,121522,27.02,0
327090,4,14,M,N,N,O,O,O,S,O,2,0,0,122015,27.74,0
357781,4,13,F,N,N,O,O,O,S,O,2,0,0,120081,13.41,0
304376,1,16,F,N,N,O,O,O,S,O,2,0,0,121962,34.92,0
576651,2,31,F,Y,O,O,O,O,S,O,6,0,0,120025,18.25,0
295474,4,19,F,Y,O,O,O,O,S,O,2,2,0,121090,22.8,0
561620,4,17,M,N,N,O,O,O,S,O,2,0,0,121043,47.6,0
732657,2,19,M,Y,O,O,O,O,S,O,2,2,0,121090,40.11,0
958445,3,12,M,N,N,O,O,O,S,O,4,0,0,121300,12.78,0
698576,3,18,F,Y,N,P,P,9,P,O,2,0,0,121882,11.79,0
299618,3,14,F,N,N,O,O,O,S,O,4,0,0,121675,32.82,0
469172,4,24,F,Y,N,P,P,9,S,O,4,0,0,120082,16.77,0
127730,5,19,F,Y,9,O,O,O,S,O,5,0,0,120025,8.24,0
5503935,9,14,F,N,N,O,O,O,S,O,2,0,0,121526,19.75,0
312346,5,12,F,N,N,O,O,O,S,O,6,0,0,121596,28.99,0
323820,3,26,F,N,N,O,O,O,P,O,0,0,0,122047,15.92,0
217782,2,16,M,N,N,O,O,O,S,O,2,0,0,122085,13.98,0
226441,1,61,F,N,C,O,O,O,P,O,7,6,0,121090,11.87,0
4410092,4,12,F,N,N,O,O,O,S,O,2,0,0,121455,40.6,0
254149,3,21,F,Y,O,O,O,O,S,O,2,2,0,120017,30.37,0
275277,3,18,M,N,N,O,O,O,S,O,2,0,0,120064,16.82,0
297804,3,22,M,Y,N,O,O,O,S,O,2,0,0,120017,19.69,0
298132,5,16,F,N,O,O,O,O,S,O,2,2,0,121257,26.9,0
302760,4,12,F,N,N,O,O,O,S,O,2,0,0,121773,44.87,0
207016,5,17,F,Y,N,O,O,O,S,O,2,0,0,122123,58.49,0
210026,4,20,M,N,O,O,O,O,S,O,2,2,0,120017,18.48,0
329780,4,13,M,N,N,O,O,O,S,O,2,0,0,120394,40.87,0
211126,3,17,F,N,N,O,O,O,S,O,5,0,0,121675,31.27,0
330585,3,19,M,Y,N,O,O,O,S,O,2,0,0,121090,26.63,0
212983,3,21,M,Y,O,O,O,O,S,O,4,1,0,120017,35.17,0
212983,4,16,F,N,N,O,O,O,S,O,2,0,0,120346,35.17,0
331764,2,20,M,Y,N,O,O,O,S,O,2,0,0,120889,34.61,0
333564,2,18,F,N,M,O,O,O,S,O,6,0,0,121899,19.22,0
333631,3,11,M,N,N,O,O,O,S,O,2,0,0,121544,31.41,0
214794,4,14,M,N,N,O,O,O,S,O,3,0,0,121257,43.74,0
334034,3,19,M,Y,N,O,O,O,S,O,2,0,0,121078,14.4,0
216035,4,14,M,N,N,O,O,O,S,O,2,0,0,121675,12.04,0
334659,3,14,M,N,N,O,O,O,S,O,2,0,0,121522,12.75,0
335140,4,15,F,N,N,O,O,O,S,O,2,0,0,121179,20.08,0
335140,5,15,F,N,N,O,O,O,S,O,2,0,0,121179,20.08,0
336993,3,23,M,Y,O,O,O,O,S,O,3,1,0,121090,36.61,0
338246,4,14,F,N,N,O,O,O,S,O,2,0,0,121882,27.38,0
343085,3,15,M,N,N,O,O,O,S,O,2,0,0,121882,88.7,0
348291,3,16,F,N,N,O,O,O,S,O,4,0,0,120346,20.94,0
381282,2,16,F,N,N,O,O,O,S,O,4,0,0,120895,18.38,0
394077,4,13,M,N,N,O,O,O,S,O,2,0,0,122000,15.42,0
447561,2,15,F,N,O,O,O,O,S,O,2,0,0,120064,76.34,0
697266,3,15,M,N,N,O,O,O,S,O,2,0,0,120895,26.67,0
401078,2,40,F,9,N,O,O,O,S,O,0,0,0,121090,26.26,0
401078,3,15,F,N,N,O,O,O,S,O,0,0,0,120007,26.26,0
291296,3,15,M,N,N,O,O,O,S,O,6,0,0,121493,25.33,0
294927,3,15,F,N,N,O,O,O,S,O,2,0,0,121485,17.2,0
295060,3,21,F,Y,O,O,O,O,S,O,0,0,0,121090,50.16,0
295060,4,16,F,N,N,O,O,O,S,O,2,0,0,121179,50.16,0
206480,6,13,M,N,N,O,O,O,S,O,2,0,0,120037,33.1,0
307706,3,21,F,Y,N,O,O,O,S,O,2,0,0,120017,42.49,0
464526,2,23,M,Y,N,O,O,O,S,O,3,0,0,120082,47.89,0
535063,3,11,F,N,N,O,O,O,S,O,2,0,0,121575,10.42,0
668009,3,16,M,N,N,O,O,O,S,O,2,0,0,122015,5.89,0
843626,3,12,M,N,N,O,O,O,S,O,2,0,0,121390,55.01,0
4468999,3,18,M,N,N,O,O,O,S,O,2,0,0,121166,29.15,0
4481128,4,15,M,N,O,O,O,O,S,O,2,2,0,122134,43.16,0
217745,3,15,M,N,N,O,O,O,S,O,2,0,0,120346,41.84,0
802968,2,20,M,Y,O,O,O,O,S,O,2,2,0,120025,17.07,0
485403,1,22,M,Y,N,O,O,O,S,O,2,2,0,121090,22.51,0
748808,2,41,M,Y,N,O,O,O,S,O,3,2,0,120889,68.9,0
318491,4,12,M,N,N,O,O,O,S,O,2,0,0,121289,17.55,0
324428,3,13,F,N,N,O,O,O,S,O,7,0,0,120403,23.56,0
249511,3,11,M,N,N,O,O,O,S,O,2,0,0,121360,14.67,0
249511,4,11,M,N,N,O,O,O,S,O,2,0,0,121360,14.67,0
275224,3,22,F,Y,O,O,O,O,S,O,3,0,0,120017,35.19,0
275859,3,25,F,Y,P,O,O,O,S,O,4,4,0,121090,22.18,0
221893,4,21,F,N,N,O,O,O,S,O,2,1,0,121090,34.36,0
310870,3,15,M,N,N,O,O,O,S,O,2,0,0,120040,15.46,0
330745,3,11,M,N,N,O,O,O,S,O,2,0,0,122138,18.2,0
334314,2,20,F,N,O,O,O,O,S,O,2,2,0,122015,55.25,0
177384,4,20,F,Y,C,O,O,O,S,O,4,0,0,120025,28.03,0
729729,1,27,F,Y,P,O,O,O,S,O,4,0,0,120082,19.96,0
280194,4,14,M,N,N,O,O,O,S,O,0,0,0,122095,40.25,0
280591,3,18,F,Y,N,O,O,O,S,O,0,0,0,121166,23.07,0
291761,3,11,M,N,N,O,O,O,S,O,4,0,0,121095,18.48,0
293871,3,11,F,N,N,O,O,O,S,O,2,0,0,120331,15.34,0
288278,3,23,F,Y,N,O,O,O,S,O,4,0,0,120082,33.54,0
288408,2,12,F,N,N,O,O,O,S,O,4,0,0,122041,19.58,0
290373,2,25,F,Y,N,O,O,O,S,O,2,0,0,120082,29.74,0
297006,3,17,M,N,N,O,O,O,S,O,2,0,0,121411,29.51,0
292627,3,14,M,N,N,O,O,O,S,O,0,0,0,121411,25.46,0
294927,2,17,F,N,N,O,O,O,S,O,2,0,0,121485,17.2,0
232965,4,16,F,N,C,O,O,O,S,O,2,0,0,121959,15.37,0
344049,3,11,F,N,N,O,O,O,S,O,4,0,0,121773,10.42,0
344117,4,20,M,Y,N,O,O,O,S,O,0,0,0,120017,36.04,0
383754,3,13,M,N,N,O,O,O,S,O,2,0,0,122041,29.96,0
310699,3,12,F,N,N,O,O,O,S,O,6,0,0,120007,14.19,0
313928,3,14,F,N,N,O,O,O,S,O,6,0,0,121635,31.51,0
223614,3,15,M,N,N,O,O,O,S,O,2,0,0,121485,30.2,0
