hhld_num,pers_num,trip_num,trip_purp,start_time,mode_prime,purp_orig,purp_dest,trip_km,trip_man_km,car_pool,region_orig,waterzn_orig,region_dest,waterzn_dest,expf
5503633,3,1,3,645,D,H,R,11,12,1,12,120676,98,0,19.28
145586,2,1,3,900,D,H,O,78,98,1,12,122121,1,0,12.51
333893,2,1,1,600,D,H,W,76,105,1,12,120134,1,0,10.55
219244,1,3,3,1330,D,H,O,91,117,2,12,121417,1,0,17.65
311765,1,2,4,1650,D,W,O,95,113,1,12,121397,1,0,15.88
312848,2,1,3,1930,D,H,O,78,98,2,12,120337,1,0,16.27
543448,1,1,1,530,J,H,W,95,109,0,12,121547,1,0,15.78
203345,2,1,3,1100,D,H,M,19,22,1,12,121791,23,0,32.95
852085,2,1,1,510,G,H,W,98,120,0,12,121415,1,0,6.18
307506,6,1,3,600,D,H,O,75,88,1,12,120349,4,0,26.75
285335,1,1,3,1020,D,H,O,18,25,1,12,122059,13,0,9.51
284754,1,1,1,815,D,H,W,22,28,1,12,121008,13,0,20.27
291553,2,1,3,930,P,H,O,46,63,0,12,121863,23,0,15.05
860049,1,1,1,530,D,H,W,23,25,1,12,121487,13,0,63.29
308596,1,1,1,715,D,H,W,15,18,1,12,120925,13,0,23.35
343899,2,1,1,450,D,H,W,201,272,1,12,121397,19,0,6.04
296929,1,1,1,815,D,H,W,13,19,1,12,122137,13,0,19.38
298030,2,1,1,1200,D,H,W,11,15,1,12,120271,13,0,14.94
298132,3,1,2,700,D,H,S,27,37,1,12,120068,13,0,26.9
298138,2,2,4,1325,P,O,O,19,20,0,12,120014,14,0,11.01
298501,2,2,4,1545,D,W,M,26,35,1,12,121563,13,0,25.8
334899,2,1,3,750,D,H,O,140,186,1,12,120116,2,0,12.18
680999,2,1,1,715,D,H,W,24,24,1,12,120715,98,0,14.51
302994,2,1,1,630,D,H,W,46,65,1,12,121801,23,0,22.27
304584,2,5,3,1300,D,H,M,10,10,2,12,121785,13,0,11.94
293877,3,1,1,700,D,H,W,18,20,1,12,122006,13,0,6.45
362899,1,1,1,500,D,H,W,16,22,1,12,122066,13,0,18.41
